块大小,块总数,容量(B),相联度,策略,总访问,命中,缺失,读,读命中,写,写命中,写回,命中率(%)
8,256,2048,8,FIFO,7,4,3,5,3,2,1,0,57.14
8,256,2048,8,LRU,7,4,3,5,3,2,1,0,57.14
8,256,2048,1,Random,7,4,3,5,3,2,1,0,57.14
8,512,4096,1,FIFO,7,4,3,5,3,2,1,0,57.14
8,512,4096,1,LRU,7,4,3,5,3,2,1,0,57.14
8,512,4096,1,Random,7,4,3,5,3,2,1,0,57.14
8,512,4096,2,FIFO,7,4,3,5,3,2,1,0,57.14
8,512,4096,2,LRU,7,4,3,5,3,2,1,0,57.14
8,512,4096,2,Random,7,4,3,5,3,2,1,0,57.14
8,512,4096,4,FIFO,7,4,3,5,3,2,1,0,57.14
8,128,1024,4,FIFO,7,4,3,5,3,2,1,0,57.14
8,64,512,8,FIFO,7,4,3,5,3,2,1,0,57.14
8,64,512,8,Random,7,4,3,5,3,2,1,0,57.14
8,128,1024,1,FIFO,7,4,3,5,3,2,1,0,57.14
8,128,1024,1,LRU,7,4,3,5,3,2,1,0,57.14
8,128,1024,1,Random,7,4,3,5,3,2,1,0,57.14
8,128,1024,2,FIFO,7,4,3,5,3,2,1,0,57.14
8,128,1024,2,LRU,7,4,3,5,3,2,1,0,57.14
8,128,1024,2,Random,7,4,3,5,3,2,1,0,57.14
16,16,256,1,LRU,7,4,3,5,3,2,1,1,57.14
8,128,1024,4,LRU,7,4,3,5,3,2,1,0,57.14
8,128,1024,4,Random,7,4,3,5,3,2,1,0,57.14
8,128,1024,8,FIFO,7,4,3,5,3,2,1,0,57.14
8,128,1024,8,LRU,7,4,3,5,3,2,1,0,57.14
8,128,1024,8,Random,7,4,3,5,3,2,1,0,57.14
8,256,2048,1,FIFO,7,4,3,5,3,2,1,0,57.14
8,256,2048,1,LRU,7,4,3,5,3,2,1,0,57.14
16,4,64,4,LRU,7,4,3,5,3,2,1,0,57.14
16,8,128,4,LRU,7,4,3,5,3,2,1,0,57.14
16,8,128,4,FIFO,7,4,3,5,3,2,1,0,57.14
16,8,128,2,Random,7,4,3,5,3,2,1,1,57.14
16,8,128,2,LRU,7,4,3,5,3,2,1,0,57.14
16,8,128,2,FIFO,7,4,3,5,3,2,1,1,57.14
16,8,128,1,Random,7,4,3,5,3,2,1,1,57.14
16,8,128,1,LRU,7,4,3,5,3,2,1,1,57.14
16,8,128,1,FIFO,7,4,3,5,3,2,1,1,57.14
16,8,128,4,Random,7,4,3,5,3,2,1,0,57.14
16,8,128,8,FIFO,7,4,3,5,3,2,1,0,57.14
16,8,128,8,LRU,7,4,3,5,3,2,1,0,57.14
16,4,64,4,Random,7,4,3,5,3,2,1,0,57.14
16,4,64,4,FIFO,7,4,3,5,3,2,1,0,57.14
16,16,256,1,FIFO,7,4,3,5,3,2,1,1,57.14
8,512,4096,4,Random,7,4,3,5,3,2,1,0,57.14
8,512,4096,8,FIFO,7,4,3,5,3,2,1,0,57.14
8,512,4096,8,LRU,7,4,3,5,3,2,1,0,57.14
8,512,4096,8,Random,7,4,3,5,3,2,1,0,57.14
8,512,4096,4,LRU,7,4,3,5,3,2,1,0,57.14
16,16,256,1,Random,7,4,3,5,3,2,1,1,57.14
16,4,64,2,Random,7,4,3,5,3,2,1,0,57.14
16,8,128,8,Random,7,4,3,5,3,2,1,0,57.14
16,4,64,2,FIFO,7,4,3,5,3,2,1,1,57.14
16,4,64,2,LRU,7,4,3,5,3,2,1,0,57.14
4,8,32,1,Random,7,3,4,5,2,2,1,1,42.86
4,8,32,1,LRU,7,3,4,5,2,2,1,1,42.86
4,4,16,1,FIFO,7,3,4,5,2,2,1,1,42.86
4,4,16,1,Random,7,3,4,5,2,2,1,1,42.86
4,8,32,1,FIFO,7,3,4,5,2,2,1,1,42.86
4,4,16,1,LRU,7,3,4,5,2,2,1,1,42.86
4,16,64,1,FIFO,7,3,4,5,2,2,1,1,42.86
4,16,64,1,LRU,7,3,4,5,2,2,1,1,42.86
4,16,64,1,Random,7,3,4,5,2,2,1,1,42.86
8,4,32,1,FIFO,7,3,4,5,2,2,1,1,42.86
8,4,32,1,LRU,7,3,4,5,2,2,1,1,42.86
8,4,32,1,Random,7,3,4,5,2,2,1,1,42.86
8,8,64,1,FIFO,7,3,4,5,2,2,1,1,42.86
8,8,64,1,LRU,7,3,4,5,2,2,1,1,42.86
8,8,64,1,Random,7,3,4,5,2,2,1,1,42.86
16,4,64,1,Random,7,3,4,5,2,2,1,1,42.86
16,4,64,1,LRU,7,3,4,5,2,2,1,1,42.86
16,4,64,1,FIFO,7,3,4,5,2,2,1,1,42.86
